   285.00  25.36   8.60  43.88   2.63  22.01   0.00    64   586   0.83
   315.00  23.04   8.61 439.06   3.11  23.04   0.00   586   586   0.76
    15.00  22.98   9.01 512.00   3.19  23.19   0.00   512   586   0.82
    45.00  22.98   8.74 543.09   3.18  23.18   0.00   587   587   0.13
    75.00  22.98   7.62 270.00   3.19  23.18   0.00   270   587   0.36
   105.00  23.56   3.73 191.00   3.13  23.08   0.00   191   587   0.55
   135.00  27.10   2.56   9.00   2.77  22.23   0.00     9   587   0.78
   165.00  31.59   2.88   6.06   2.32  21.13   0.00     7   587   0.98
   195.00  34.06   3.54   8.87   2.06  20.41   0.00    11   588   0.39
   225.00  33.44   5.89  14.09   2.04  20.34   0.00    18   588   0.74
   255.00  29.53   8.37  24.57   2.30  21.12   0.00    32   589   0.10
   285.00  25.36   8.59  43.88   2.61  21.97   0.00    64   589   0.11
   315.00  23.04   8.61 287.78   3.04  22.99   0.00   446   589   0.04
    15.00  22.97   9.01 413.00   3.11  23.15   0.00   413   589   0.11
    45.00  22.97   8.74 413.00   3.11  23.15   0.00   413   589   0.41
    75.00  22.97   7.62 269.00   3.11  23.15   0.00   269   589   0.64
   105.00  23.56   3.73 207.00   3.06  23.04   0.00   207   589   0.83
   135.00  27.10   2.56   9.00   2.70  22.19   0.00     9   590   0.06
   165.00  31.59   2.89   6.06   2.26  21.10   0.00     7   590   0.26
   195.00  34.06   3.54   8.88   1.99  20.38   0.00    11   590   0.67
   225.00  33.44   5.89  14.10   1.98  20.32   0.00    18   591   0.01
   255.00  29.53   8.37  24.56   2.24  21.09   0.00    32   591   0.37
   285.00  25.35   8.59  43.88   2.54  21.96   0.00    64   591   0.38
   315.00  23.04   8.61 263.25   2.99  23.12   0.00   321   591   0.31
    15.00  22.97   9.01 321.00   3.06  23.36   0.00   321   591   0.38
    45.00  22.97   8.74 321.00   3.06  23.35   0.00   321   591   0.68
    75.00  22.97   7.62 297.00   3.06  23.35   0.00   297   591   0.91
   105.00  23.56   3.73 218.00   3.01  23.25   0.00   218   592   0.10
   135.00  27.10   2.56   9.00   2.66  22.40   0.00     9   592   0.33
   165.00  31.59   2.89   6.07   2.22  21.32   0.00     7   592   0.52
   195.00  34.07   3.54   8.88   1.95  20.59   0.00    11   592   0.93
   225.00  33.45   5.89  14.11   1.94  20.53   0.00    18   593   0.27
   255.00  29.53   8.37  24.55   2.19  21.28   0.00    32   593   0.63
   285.00  25.35   8.59  43.88   2.49  22.12   0.00    64   593   0.64
   315.00  23.04   8.61 470.33   2.96  23.09   0.00   593   593   0.57
    15.00  22.97   9.01 361.00   3.02  23.19   0.00   361   593   0.63
    45.00  22.97   8.74 361.00   3.02  23.19   0.00   361   593   0.93
    75.00  22.97   7.62 361.00   3.02  23.19   0.00   361   594   0.16
   105.00  23.56   3.73 218.00   2.97  23.08   0.00   218   594   0.35
   135.00  27.10   2.56   9.00   2.62  22.24   0.00     9   594   0.58
   165.00  31.59   2.89   6.08   2.19  21.17   0.00     7   594   0.77
   195.00  34.07   3.54   8.89   1.93  20.46   0.00    11   595   0.17
   225.00  33.45   5.89  14.12   1.91  20.39   0.00    18   595   0.51
   255.00  29.53   8.37  24.55   2.16  21.13   0.00    32   595   0.87
   285.00  25.35   8.59  43.88   2.46  21.95   0.00    64   595   0.88
   315.00  23.02   8.59 472.30   2.90  22.93   0.00   595   595   0.81
    15.00  22.92   8.96 427.00   2.96  23.06   0.00   427   595   0.87
    45.00  22.92   8.69 427.00   2.96  23.05   0.00   427   596   0.17
    75.00  22.92   7.57 424.00   2.96  23.05   0.00   424   596   0.39
   105.00  23.52   3.68 112.00   2.89  22.97   0.00   112   596   0.58
   135.00  27.10   2.56   9.00   2.55  22.14   0.00     9   596   0.81
   165.00  31.59   2.89   6.06   2.12  21.08   0.00     7   597   0.00
   195.00  34.07   3.54   8.88   1.86  20.37   0.00    11   597   0.41
   225.00  33.44   5.89  14.09   1.85  20.31   0.00    18   597   0.74
   255.00  29.52   8.36  24.46   2.10  21.05   0.00    32   598   0.10
   285.00  25.33   8.57  43.62   2.39  21.87   0.00    63   598   0.11
   315.00  22.99   8.57 469.23   2.83  22.83   0.00   598   598   0.03
   345.00  22.92   8.98 514.00   2.89  22.95   0.00   514   598   0.10
   375.00  22.92   8.90 514.00   2.89  22.94   0.00   514   598   0.46
   405.00  22.92   8.69 514.00   2.89  22.94   0.00   514   598   0.76
   435.00  22.92   7.56 514.00   2.89  22.94   0.00   514   598   0.98
   465.00  23.52   3.67 514.00   2.83  22.84   0.00   514   599   0.17
   495.00  27.09   2.55   9.00   2.49  22.02   0.00     9   599   0.39
   525.00  31.59   2.89   6.05   2.06  20.97   0.00     7   599   0.58
   555.00  34.07   3.55   8.85   1.81  20.27   0.00    11   599   0.98
   585.00  33.45   5.89  14.08   1.80  20.21   0.00    18   600   0.32
