1.0	15.0	284.54	54.67	2.05	103.99	308.36	95676.82	46.78	-20.0	-10.0	55.8	-22.0	-11.0
1.0	45.0	286.91	48.1	2.23	142.55	313.9	95527.41	34.71	-20.0	-10.0	49.74	-22.0	-11.0
1.0	75.0	289.92	41.14	2.4	198.35	321.9	95294.75	16.12	-20.0	-10.0	41.63	-22.0	-11.0
1.0	105.0	295.6	33.9	2.55	257.62	344.0	95071.75	0.0	-20.0	-10.0	28.49	-22.0	-11.0
1.0	135.0	301.32	28.75	2.49	305.36	368.15	94871.79	0.0	-20.0	-10.0	29.03	-22.0	-11.0
1.0	165.0	307.13	26.51	2.28	304.92	406.87	94948.35	0.0	-20.0	-10.0	26.46	-22.0	-11.0
1.0	195.0	309.78	31.71	2.15	265.47	443.68	95101.96	0.0	-20.0	-10.0	48.47	-22.0	-11.0
1.0	225.0	309.64	34.89	2.01	231.3	450.87	95192.04	0.04	-20.0	-10.0	49.26	-22.0	-11.0
1.0	255.0	304.89	37.34	2.11	201.88	413.27	95278.77	17.41	-20.0	-10.0	55.87	-22.0	-11.0
1.0	285.0	297.14	34.57	2.07	175.22	352.4	95472.12	0.81	-20.0	-10.0	25.42	-22.0	-11.0
1.0	315.0	288.32	40.93	1.95	129.87	308.99	95640.54	5.24	-20.0	-10.0	17.19	-22.0	-11.0
1.0	345.0	283.63	51.26	1.9	100.35	297.8	95789.83	22.12	-20.0	-10.0	29.62	-22.0	-11.0
2.0	375.0	284.54	54.67	2.05	103.99	308.36	95676.82	46.78	-20.0	-10.0	55.8	-22.0	-11.0
2.0	405.0	286.91	48.1	2.23	142.55	313.9	95527.41	34.71	-20.0	-10.0	49.74	-22.0	-11.0
2.0	435.0	289.92	41.14	2.4	198.35	321.9	95294.75	16.12	-20.0	-10.0	41.63	-22.0	-11.0
2.0	465.0	295.6	33.9	2.55	257.62	344.0	95071.75	0.0	-20.0	-10.0	28.49	-22.0	-11.0
2.0	495.0	301.32	28.75	2.49	305.36	368.15	94871.79	0.0	-20.0	-10.0	29.03	-22.0	-11.0
2.0	525.0	307.13	26.51	2.28	304.92	406.87	94948.35	0.0	-20.0	-10.0	26.46	-22.0	-11.0
2.0	555.0	309.78	31.71	2.15	265.47	443.68	95101.96	0.0	-20.0	-10.0	48.47	-22.0	-11.0
2.0	585.0	309.64	34.89	2.01	231.3	450.87	95192.04	0.04	-20.0	-10.0	49.26	-22.0	-11.0
2.0	615.0	304.89	37.34	2.11	201.88	413.27	95278.77	17.41	-20.0	-10.0	55.87	-22.0	-11.0
2.0	645.0	297.14	34.57	2.07	175.22	352.4	95472.12	0.81	-20.0	-10.0	25.42	-22.0	-11.0
2.0	675.0	288.32	40.93	1.95	129.87	308.99	95640.54	5.24	-20.0	-10.0	17.19	-22.0	-11.0
2.0	705.0	283.63	51.26	1.9	100.35	297.8	95789.83	22.12	-20.0	-10.0	29.62	-22.0	-11.0
3.0	735.0	284.54	54.67	2.05	103.99	308.36	95676.82	46.78	-20.0	-10.0	55.8	-22.0	-11.0
3.0	765.0	286.91	48.1	2.23	142.55	313.9	95527.41	34.71	-20.0	-10.0	49.74	-22.0	-11.0
3.0	795.0	289.92	41.14	2.4	198.35	321.9	95294.75	16.12	-20.0	-10.0	41.63	-22.0	-11.0
3.0	825.0	295.6	33.9	2.55	257.62	344.0	95071.75	0.0	-20.0	-10.0	28.49	-22.0	-11.0
3.0	855.0	301.32	28.75	2.49	305.36	368.15	94871.79	0.0	-20.0	-10.0	29.03	-22.0	-11.0
3.0	885.0	307.13	26.51	2.28	304.92	406.87	94948.35	0.0	-20.0	-10.0	26.46	-22.0	-11.0
3.0	915.0	309.78	31.71	2.15	265.47	443.68	95101.96	0.0	-20.0	-10.0	48.47	-22.0	-11.0
3.0	945.0	309.64	34.89	2.01	231.3	450.87	95192.04	0.04	-20.0	-10.0	49.26	-22.0	-11.0
3.0	975.0	304.89	37.34	2.11	201.88	413.27	95278.77	17.41	-20.0	-10.0	55.87	-22.0	-11.0
3.0	1005.0	297.14	34.57	2.07	175.22	352.4	95472.12	0.81	-20.0	-10.0	25.42	-22.0	-11.0
3.0	1035.0	288.32	40.93	1.95	129.87	308.99	95640.54	5.24	-20.0	-10.0	17.19	-22.0	-11.0
3.0	1065.0	283.63	51.26	1.9	100.35	297.8	95789.83	22.12	-20.0	-10.0	29.62	-22.0	-11.0
4.0	1095.0	284.54	54.67	2.05	103.99	308.36	95676.82	46.78	-20.0	-10.0	55.8	-22.0	-11.0
4.0	1125.0	286.91	48.1	2.23	142.55	313.9	95527.41	34.71	-20.0	-10.0	49.74	-22.0	-11.0
4.0	1155.0	289.92	41.14	2.4	198.35	321.9	95294.75	16.12	-20.0	-10.0	41.63	-22.0	-11.0
4.0	1185.0	295.6	33.9	2.55	257.62	344.0	95071.75	0.0	-20.0	-10.0	28.49	-22.0	-11.0
4.0	1215.0	301.32	28.75	2.49	305.36	368.15	94871.79	0.0	-20.0	-10.0	29.03	-22.0	-11.0
4.0	1245.0	307.13	26.51	2.28	304.92	406.87	94948.35	0.0	-20.0	-10.0	26.46	-22.0	-11.0
4.0	1275.0	309.78	31.71	2.15	265.47	443.68	95101.96	0.0	-20.0	-10.0	48.47	-22.0	-11.0
4.0	1305.0	309.64	34.89	2.01	231.3	450.87	95192.04	0.04	-20.0	-10.0	49.26	-22.0	-11.0
4.0	1335.0	304.89	37.34	2.11	201.88	413.27	95278.77	17.41	-20.0	-10.0	55.87	-22.0	-11.0
4.0	1365.0	297.14	34.57	2.07	175.22	352.4	95472.12	0.81	-20.0	-10.0	25.42	-22.0	-11.0
4.0	1395.0	288.32	40.93	1.95	129.87	308.99	95640.54	5.24	-20.0	-10.0	17.19	-22.0	-11.0
4.0	1425.0	283.63	51.26	1.9	100.35	297.8	95789.83	22.12	-20.0	-10.0	29.62	-22.0	-11.0
5.0	1455.0	284.54	54.67	2.05	103.99	308.36	95676.82	46.78	-20.0	-10.0	55.8	-22.0	-11.0
5.0	1485.0	286.91	48.1	2.23	142.55	313.9	95527.41	34.71	-20.0	-10.0	49.74	-22.0	-11.0
5.0	1515.0	289.92	41.14	2.4	198.35	321.9	95294.75	16.12	-20.0	-10.0	41.63	-22.0	-11.0
5.0	1545.0	295.6	33.9	2.55	257.62	344.0	95071.75	0.0	-20.0	-10.0	28.49	-22.0	-11.0
5.0	1575.0	301.32	28.75	2.49	305.36	368.15	94871.79	0.0	-20.0	-10.0	29.03	-22.0	-11.0
5.0	1605.0	307.13	26.51	2.28	304.92	406.87	94948.35	0.0	-20.0	-10.0	26.46	-22.0	-11.0
5.0	1635.0	309.78	31.71	2.15	265.47	443.68	95101.96	0.0	-20.0	-10.0	48.47	-22.0	-11.0
5.0	1665.0	309.64	34.89	2.01	231.3	450.87	95192.04	0.04	-20.0	-10.0	49.26	-22.0	-11.0
5.0	1695.0	304.89	37.34	2.11	201.88	413.27	95278.77	17.41	-20.0	-10.0	55.87	-22.0	-11.0
5.0	1725.0	297.14	34.57	2.07	175.22	352.4	95472.12	0.81	-20.0	-10.0	25.42	-22.0	-11.0
5.0	1755.0	288.32	40.93	1.95	129.87	308.99	95640.54	5.24	-20.0	-10.0	17.19	-22.0	-11.0
5.0	1785.0	283.63	51.26	1.9	100.35	297.8	95789.83	22.12	-20.0	-10.0	29.62	-22.0	-11.0
6.0	1815.0	284.54	54.67	2.05	103.99	308.36	95676.82	46.78	-20.0	-10.0	55.8	-22.0	-11.0
6.0	1845.0	286.91	48.1	2.23	142.55	313.9	95527.41	34.71	-20.0	-10.0	49.74	-22.0	-11.0
6.0	1875.0	289.92	41.14	2.4	198.35	321.9	95294.75	16.12	-20.0	-10.0	41.63	-22.0	-11.0
6.0	1905.0	295.6	33.9	2.55	257.62	344.0	95071.75	0.0	-20.0	-10.0	28.49	-22.0	-11.0
6.0	1935.0	301.32	28.75	2.49	305.36	368.15	94871.79	0.0	-20.0	-10.0	29.03	-22.0	-11.0
6.0	1965.0	307.13	26.51	2.28	304.92	406.87	94948.35	0.0	-20.0	-10.0	26.46	-22.0	-11.0
6.0	1995.0	309.78	31.71	2.15	265.47	443.68	95101.96	0.0	-20.0	-10.0	48.47	-22.0	-11.0
6.0	2025.0	309.64	34.89	2.01	231.3	450.87	95192.04	0.04	-20.0	-10.0	49.26	-22.0	-11.0
6.0	2055.0	304.89	37.34	2.11	201.88	413.27	95278.77	17.41	-20.0	-10.0	55.87	-22.0	-11.0
6.0	2085.0	297.14	34.57	2.07	175.22	352.4	95472.12	0.81	-20.0	-10.0	25.42	-22.0	-11.0
6.0	2115.0	288.32	40.93	1.95	129.87	308.99	95640.54	5.24	-20.0	-10.0	17.19	-22.0	-11.0
6.0	2145.0	283.63	51.26	1.9	100.35	297.8	95789.83	22.12	-20.0	-10.0	29.62	-22.0	-11.0
7.0	2175.0	284.54	54.67	2.05	103.99	308.36	95676.82	46.78	-20.0	-10.0	55.8	-22.0	-11.0
7.0	2205.0	286.91	48.1	2.23	142.55	313.9	95527.41	34.71	-20.0	-10.0	49.74	-22.0	-11.0
7.0	2235.0	289.92	41.14	2.4	198.35	321.9	95294.75	16.12	-20.0	-10.0	41.63	-22.0	-11.0
7.0	2265.0	295.6	33.9	2.55	257.62	344.0	95071.75	0.0	-20.0	-10.0	28.49	-22.0	-11.0
7.0	2295.0	301.32	28.75	2.49	305.36	368.15	94871.79	0.0	-20.0	-10.0	29.03	-22.0	-11.0
7.0	2325.0	307.13	26.51	2.28	304.92	406.87	94948.35	0.0	-20.0	-10.0	26.46	-22.0	-11.0
7.0	2355.0	309.78	31.71	2.15	265.47	443.68	95101.96	0.0	-20.0	-10.0	48.47	-22.0	-11.0
7.0	2385.0	309.64	34.89	2.01	231.3	450.87	95192.04	0.04	-20.0	-10.0	49.26	-22.0	-11.0
7.0	2415.0	304.89	37.34	2.11	201.88	413.27	95278.77	17.41	-20.0	-10.0	55.87	-22.0	-11.0
7.0	2445.0	297.14	34.57	2.07	175.22	352.4	95472.12	0.81	-20.0	-10.0	25.42	-22.0	-11.0
7.0	2475.0	288.32	40.93	1.95	129.87	308.99	95640.54	5.24	-20.0	-10.0	17.19	-22.0	-11.0
7.0	2505.0	283.63	51.26	1.9	100.35	297.8	95789.83	22.12	-20.0	-10.0	29.62	-22.0	-11.0
8.0	2535.0	284.54	54.67	2.05	103.99	308.36	95676.82	46.78	-20.0	-10.0	55.8	-22.0	-11.0
8.0	2565.0	286.91	48.1	2.23	142.55	313.9	95527.41	34.71	-20.0	-10.0	49.74	-22.0	-11.0
8.0	2595.0	289.92	41.14	2.4	198.35	321.9	95294.75	16.12	-20.0	-10.0	41.63	-22.0	-11.0
8.0	2625.0	295.6	33.9	2.55	257.62	344.0	95071.75	0.0	-20.0	-10.0	28.49	-22.0	-11.0
8.0	2655.0	301.32	28.75	2.49	305.36	368.15	94871.79	0.0	-20.0	-10.0	29.03	-22.0	-11.0
8.0	2685.0	307.13	26.51	2.28	304.92	406.87	94948.35	0.0	-20.0	-10.0	26.46	-22.0	-11.0
8.0	2715.0	309.78	31.71	2.15	265.47	443.68	95101.96	0.0	-20.0	-10.0	48.47	-22.0	-11.0
8.0	2745.0	309.64	34.89	2.01	231.3	450.87	95192.04	0.04	-20.0	-10.0	49.26	-22.0	-11.0
8.0	2775.0	304.89	37.34	2.11	201.88	413.27	95278.77	17.41	-20.0	-10.0	55.87	-22.0	-11.0
